size,phase,method,decision_accuracy,safety_score,clinical_correctness,completeness,coherence
—,Teacher,Teacher (Gemini 2.5),4.35,4.24,4.22,3.13,3.65
1.5B,Phase 1,E1 WSFT,4.192,2.869,1.424,2.566,3.545
1.5B,Phase 1,E5b Expl Entropy,4.15,2.97,1.48,2.6,3.62
1.5B,Phase 1,E7 Dec Only,4.35,2.94,1.68,2.57,3.5
1.5B,Phase 2,M1 Linear (A1),4.235,2.684,1.316,2.388,3.5
1.5B,Phase 2,M2 Seq (EWD),4.1,2.78,1.45,2.52,3.67
1.5B,Phase 2,M3 Juggler,3.889,2.455,0.99,2.212,3.242
3B,Phase 1,E1 WSFT,4.242,3.131,1.949,2.879,3.929
3B,Phase 1,E5b Expl Entropy,4.3,3.28,2.07,3.0,3.92
3B,Phase 1,E7 Dec Only,4.1,3.3,2.24,3.35,4.0
3B,Phase 2,M1 Linear (A1),4.337,2.98,1.786,2.765,3.714
3B,Phase 2,M2 Seq (EWD),4.2,3.22,1.87,2.76,3.94
3B,Phase 2,M3 Juggler,4.04,3.03,1.566,2.576,3.737
7B,Phase 1,E1 WSFT,4.293,3.727,2.909,3.525,4.374
7B,Phase 1,E5b Expl Entropy,4.35,3.72,2.75,3.57,4.31
7B,Phase 1,E7 Dec Only,4.15,3.74,2.87,3.73,4.34
7B,Phase 2,M1 Linear (A1),4.235,3.48,2.52,3.235,4.163
7B,Phase 2,M2 Seq (WED),4.3,3.69,2.76,3.47,4.36
7B,Phase 2,M3 Juggler,4.04,3.404,2.354,3.121,4.222
